pc_id,position_name,value,club_id
3615859,Batter,3.0,701
3290172,Batter,3.0,701
4197959,Batter,2.0,701
4204377,Batter,2.0,701
3919565,Batter,2.0,701
3941797,Batter,2.0,701
4148426,Batter,2.0,701
3615862,Batter,2.0,701
3870198,Batter,2.0,701
919277,All Rounder,12.0,701
270631,All Rounder,12.0,701
4130697,All Rounder,12.0,701
4176460,All Rounder,10.0,701
1078462,All Rounder,9.0,701
966115,All Rounder,8.0,701
480996,All Rounder,8.0,701
1685254,All Rounder,8.0,701
1345104,All Rounder,8.0,701
581764,All Rounder,7.0,701
966101,All Rounder,5.0,701
3638915,All Rounder,5.0,701
4346927,All Rounder,3.0,701
4338337,All Rounder,3.0,701
222491,Keeper,6.0,701
1157562,Keeper,6.0,701
3629689,Keeper,5.0,701
1157573,Keeper,4.0,701
3437043,Keeper,4.0,701
4072668,Keeper,4.0,701
3624069,Keeper,3.0,701
695453,Bowler,8.0,701
902536,Bowler,8.0,701
3944334,Bowler,7.0,701
3851819,Bowler,6.0,701
581759,Bowler,6.0,701
1006539,Bowler,6.0,701
1281632,Bowler,5.0,701
1666420,Bowler,5.0,701
928236,Bowler,5.0,701
42549,Bowler,5.0,701
3645385,Bowler,5.0,701
3835439,Bowler,5.0,701
4148763,Bowler,5.0,701
418520,Bowler,4.0,701
19074,Bowler,4.0,701
4158323,Bowler,4.0,701
1666961,Bowler,4.0,701
3615856,Bowler,4.0,701
39524,Bowler,4.0,701
3626269,Bowler,2.0,701
3624070,Bowler,2.0,701
136399,Batter,6.5,6749
136402,Batter,6.5,6749
1878503,Batter,6.0,6749
0,Batter,6.0,6749
104435,Batter,6.0,6749
1696763,Batter,6.0,6749
136405,Batter,5.5,6749
136407,Batter,5.5,6749
129077,Batter,5.5,6749
3424025,Batter,5.5,6749
3278968,Batter,5.0,6749
4585,Batter,5.0,6749
134412,Batter,5.0,6749
3604424,Batter,5.0,6749
134422,Batter,5.0,6749
3604306,Batter,5.0,6749
3547600,Batter,5.0,6749
507623,Batter,5.0,6749
136373,Batter,5.0,6749
1039398,Batter,5.0,6749
4078432,Batter,4.5,6749
1456013,Batter,4.5,6749
4193596,Batter,4.5,6749
4245035,Batter,4.0,6749
523651,Batter,4.0,6749
3736695,Batter,4.0,6749
1081026,Batter,4.0,6749
3273905,Batter,3.5,6749
129080,Batter,3.5,6749
52222,Batter,3.5,6749
430617,Batter,3.5,6749
458650,All Rounder,6.5,6749
930717,All Rounder,6.0,6749
479617,All Rounder,5.0,6749
136429,All Rounder,5.0,6749
1931225,All Rounder,4.5,6749
1420844,All Rounder,4.5,6749
3361749,All Rounder,3.5,6749
1931217,Keeper,6.0,6749
24780,Keeper,5.5,6749
136381,Keeper,5.0,6749
1740853,Keeper,4.5,6749
4099747,Keeper,4.0,6749
1692367,Bowler,6.0,6749
136389,Bowler,6.0,6749
1931942,Bowler,5.5,6749
458652,Bowler,5.5,6749
4052322,Bowler,5.5,6749
136437,Bowler,5.5,6749
1761481,Bowler,5.0,6749
1740824,Bowler,5.0,6749
574591,Bowler,5.0,6749
933649,Bowler,5.0,6749
313227,Bowler,4.5,6749
3600803,Bowler,4.5,6749
458649,Bowler,4.5,6749
1164671,Bowler,4.0,6749
31050,Bowler,4.0,6749
611538,Bowler,4.0,6749
499579,Bowler,4.0,6749
136420,Bowler,4.0,6749
3394079,Bowler,3.5,6749
3810131,Bowler,3.5,6749
1929341,Bowler,3.5,6749
1931223,Bowler,3.5,6749
1740852,Bowler,3.0,6749
344298,Bowler,3.0,6749
4093189,Batter,11.1,4713
344027,Batter,11.5,4713
1899642,Batter,8.5,4713
703235,Batter,7.3,4713
317915,Batter,7.2,4713
439098,Batter,6.3,4713
42548,Batter,6.8,4713
962759,Batter,7.2,4713
873793,Batter,6.3,4713
